"מספר מושמים  ברשויות אחרות","מספר מושמים  ברשות הנבחרת","רשות  מסגרת/שלוחה","שם שלוחה","שם מסגרת","סמל מסגרת","תוכנית","סוג מסגרת","סוג סידור","יחידה אחראית","מינהל"
4,0,"ירושלים"," ","אלווין-תוכנית מעבר",205120,"תוכנית מעבר","תוכנית מעבר","בקהילה","שיקום ונכים","מינהל מוגבלויות"
1,0,"ירושלים"," ","מכון בית יעקב",218870,"תוכנית מעבר","תעסוקה מוגנת )מע"ש(","בקהילה","שיקום ונכים","מינהל מוגבלויות"
5,0,"בני ברק"," ","שמעיה-ת.נתמכת ב"ב",207638,"תעסוקה נתמכת","תעסוקה ניתמכת","בקהילה","שיקום ונכים","מינהל מוגבלויות"
1,0,"כפר סבא","משה דיין 63","מרכז ניצן כפר סבא",1723,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","שיקום ונכים","מינהל מוגבלויות"
1,0,"משגב"," ","כישורית (חל"צ",1733,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","שיקום ונכים","מינהל מוגבלויות"
3,0,"ירושלים"," ","מכון פוירשין-מ.דיור",4138,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","שיקום ונכים","מינהל מוגבלויות"
1,0,"עמק יזרעאל"," ","ק.מ.ה הרדוף-יהודי צפ",5156,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","שיקום ונכים","מינהל מוגבלויות"
1,0,"ירושלים","משה שרת 15- לווין","כנרת-מרכז יהודי י-ם",5261,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","שיקום ונכים","מינהל מוגבלויות"
1,0,"ערבות הירדן","שדמות מחולה","כנרת-מרכז יהודי י-ם",5261,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","שיקום ונכים","מינהל מוגבלויות"
0,5,"גוש עציון"," ","סדנת שילוב כפרי",6070,"מערך דיור","מערך דיור/דירת לוין","חוץ ביתי","שיקום ונכים","מינהל מוגבלויות"
